Spades#Hearts#Clubs#Diamonds
Ace;¿De qué te sientes orgulloso y por qué?#Ace;Cuéntame de alguna vez que te sorprendiste mucho.#Ace;¿Preferirías ser increíblemente inteligente o increíblemente atlético? ¿Por qué?#Ace;Si pudieras tener cualquier superpoder, ¿cuál sería y cómo lo usarías?
King;¿Cuál es tu opinión sobre las redes sociales?#King;Describe un viaje memorable que hayas hecho.#King;¿Cuál es tu tipo de comida favorita y por qué?#King;Si pudieras viajar a cualquier lugar en el tiempo, ¿a dónde (y cuándo) irías y por qué?
Queen;¿Qué cualidad admiras en los demás?#Queen;¿Qué es lo más interesante que has aprendido recientemente?#Queen;Si solo pudieras escuchar una banda o artista por el resto de tu vida, ¿quién sería?#Queen;Si pudieras cenar con tres personas, vivas o muertas, ¿quiénes serían y por qué?
Jack;¿Cuál es un problema que enfrenta el mundo hoy en día que consideres importante?#Jack;Cuéntame sobre un día típico en tu vida.#Jack;¿Prefieres leer libros o ver películas? Explica tu elección.#Jack;Si fueras el líder de tu país, ¿qué es lo primero que harías?
Ten;En tu opinión, ¿cuál es la mejor manera de aprender un nuevo idioma?#Ten;¿Cuáles son tus planes para el próximo fin de semana?#Ten;¿Qué te gusta más, la ciudad o el campo? ¿Por qué?#Ten;Si pudieras inventar cualquier cosa, ¿qué sería y cómo ayudaría a la gente?
Nine;¿Qué es más importante: ser rico o ser feliz? Explica tu razonamiento.#Nine;Describe un desafío que hayas superado.#Nine;¿Cuál es tu forma favorita de pasar un día lluvioso?#Nine;Si los animales pudieran hablar, ¿con cuál te gustaría tener una conversación y por qué?
Eight;¿Qué es algo que crees que todos deberían probar al menos una vez?#Eight;¿Qué habilidad te gustaría aprender y por qué?#Eight;¿Preferirías tener la capacidad de volar o ser invisible? ¿Por qué?#Eight;Si estuvieras varado en una isla desierta y solo pudieras llevar tres objetos, ¿cuáles serían?
Seven;¿Cuál es tu opinión sobre la importancia de aprender historia?#Seven;Cuéntame de alguna vez que ayudaste a alguien.#Seven;¿Qué es una cosa que te gustaría mejorar de tu rutina diaria?#Seven;Si pudieras convertirte instantáneamente en un experto en cualquier campo, ¿cuál sería y por qué?
Six;¿Cómo crees que la tecnología ha cambiado la forma en que las personas se comunican?#Six;¿Qué es lo más emocionante que te ha pasado este año?#Six;¿Cuál es tu método preferido de aprendizaje: leer, escuchar o hacer?#Six;Si pudieras cambiar un evento en la historia, ¿cuál sería y cómo crees que afectaría el presente?
Five;¿Crees que es importante seguir tus sueños? ¿Por qué sí o por qué no?#Five;Describe tu recuerdo favorito de la infancia.#Five;Si tuvieras que elegir una estación para experimentar todo el año, ¿cuál sería?#Five;Si pudieras vivir en cualquier mundo ficticio (de un libro, película o juego), ¿cuál elegirías?
Four;¿Cuál es tu opinión sobre viajar a nuevos lugares?#Four;¿Qué meta estás trabajando actualmente?#Four;¿Prefieres trabajar solo o como parte de un equipo? ¿Por qué?#Four;Si pudieras hacerle una pregunta a un adivino sobre tu futuro, ¿cuál sería?
Three;¿Cuál es la lección más importante que has aprendido en la vida hasta ahora?#Three;¿Dónde te ves dentro de cinco años?#Three;¿Qué prefieres: dar regalos o recibir regalos? Explica por qué.#Three;Si ganaras la lotería, ¿qué es lo primero que harías?
Two;¿Cuál es tu opinión sobre este juego que estamos jugando ahora mismo?#Two;¿Qué estabas haciendo en esta misma fecha el año pasado?#Two;¿Qué sentido es más importante para ti: vista, oído, olfato, gusto o tacto?#Two;Si pudieras experimentar un día en los zapatos de otra persona, ¿quién sería?
