Spades#Hearts#Clubs#Diamonds
Ace;Describe tu cara.#Ace;¿Qué cenaste anoche?#Ace;¿Cuál es tu dirección en inglés?#Ace;Si pudieras tener una mascota, ¿cuál sería?
King;Describe tu ropa.#King;¿Qué comiste hoy?#King;¿A qué hora te levantas normalmente?#King;Si tuvieras un millón de dólares, ¿en qué lo gastarías?
Queen;Describe a tu madre.#Queen;¿Cuál es tu deporte favorito? ¿Por qué?#Queen;¿A dónde fuiste en tus últimas vacaciones?#Queen;Si pudieras conocer a cualquier persona en el mundo, ¿quién sería y por qué?
Jack;Describe a tu padre.#Jack;¿Qué hiciste anoche?#Jack;¿Dónde naciste?#Jack;Si pudieras cambiar algo de tu escuela, ¿qué sería?
Ten;Describe una manzana.#Ten;¿Qué tipo de música te gusta? ¿Por qué?#Ten;¿Por qué estudias inglés?#Ten;Si tuvieras que vivir en otro país, ¿cuál elegirías?
Nine;Describe tu habitación.#Nine;¿Cuál es tu juego favorito? ¿Por qué?#Nine;¿Qué prefieres, el verano o el invierno, y por qué?#Nine;Si pudieras hacer cualquier cosa en el mundo, ¿qué harías?
Eight;Describe a tu mejor amigo.#Eight;¿A qué se dedica tu madre?#Eight;¿Qué revistas te gusta leer?#Eight;Si pudieras hablar tres idiomas bien, ¿cuáles serían?
Seven;Describe lo que desayunaste hoy.#Seven;¿A qué se dedica tu padre?#Seven;¿Cuántas horas duermes normalmente por noche?#Seven;Si fueras rico, ¿qué harías?
Six;Describe a tu profesor de inglés.#Six;¿Cuál es tu clase favorita en la escuela? ¿Por qué?#Six;¿Te gusta ir de compras? ¿Por qué?#Six;Si tuvieras que pasar un día solo en casa, ¿qué harías?
Five;Describe la diferencia entre un perro y un gato.#Five;¿Qué hiciste el domingo pasado?#Five;¿Con qué frecuencia vas al cine?#Five;Si todos en el mundo desaparecieran de repente, ¿qué harías?
Four;Describe un lápiz.#Four;¿Cuál es tu programa de televisión favorito? ¿Por qué?#Four;¿Cuál fue la última película que viste?#Four;Si pudieras elegir tu edad, ¿qué edad tendrías y por qué?
Three;Describe tu pasatiempo favorito.#Three;¿Qué harías si pudieras hacer cualquier cosa en el mundo?#Three;¿Te gustaría viajar a otros países? ¿Por qué?#Three;Si pudieras elegir cualquier comida que quisieras, ¿cuál sería?
Two;Describe este juego.#Two;¿Qué es lo único que cambiarías de ti mismo?#Two;¿Cuántos amigos tienes y quiénes son?#Two;Si encontraras $100,000, ¿qué harías?
