Picas,Corazones,Tréboles,Diamantes
As;¿De qué te sientes orgulloso y por qué?,As;Cuéntame de alguna vez que te sorprendiste mucho.,As;¿Preferirías ser increíblemente inteligente o increíblemente atlético? ¿Por qué?,As;Si pudieras tener cualquier superpoder, ¿cuál sería y cómo lo usarías?
Rey;¿Cuál es tu opinión sobre las redes sociales?,Rey;Describe un viaje memorable que hayas hecho.,Rey;¿Cuál es tu tipo de comida favorita y por qué?,Rey;Si pudieras viajar a cualquier lugar en el tiempo, ¿a dónde (y cuándo) irías y por qué?
Reina;¿Qué cualidad admiras en los demás?,Reina;¿Qué es lo más interesante que has aprendido recientemente?,Reina;Si solo pudieras escuchar una banda o artista por el resto de tu vida, ¿quién sería?,Reina;Si pudieras cenar con tres personas, vivas o muertas, ¿quiénes serían y por qué?
Jota;¿Cuál es un problema que enfrenta el mundo hoy en día que consideres importante?,Jota;Cuéntame sobre un día típico en tu vida.,Jota;¿Prefieres leer libros o ver películas? Explica tu elección.,Jota;Si fueras el líder de tu país, ¿qué es lo primero que harías?
Diez;En tu opinión, ¿cuál es la mejor manera de aprender un nuevo idioma?,Diez;¿Cuáles son tus planes para el próximo fin de semana?,Diez;¿Qué te gusta más, la ciudad o el campo? ¿Por qué?,Diez;Si pudieras inventar cualquier cosa, ¿qué sería y cómo ayudaría a la gente?
Nueve;¿Qué es más importante: ser rico o ser feliz? Explica tu razonamiento.,Nueve;Describe un desafío que hayas superado.,Nueve;¿Cuál es tu forma favorita de pasar un día lluvioso?,Nueve;Si los animales pudieran hablar, ¿con cuál te gustaría tener una conversación y por qué?
Ocho;¿Qué es algo que crees que todos deberían probar al menos una vez?,Ocho;¿Qué habilidad te gustaría aprender y por qué?,Ocho;¿Preferirías tener la capacidad de volar o ser invisible? ¿Por qué?,Ocho;Si estuvieras varado en una isla desierta y solo pudieras llevar tres objetos, ¿cuáles serían?
Siete;¿Cuál es tu opinión sobre la importancia de aprender historia?,Siete;Cuéntame de alguna vez que ayudaste a alguien.,Siete;¿Qué es una cosa que te gustaría mejorar de tu rutina diaria?,Siete;Si pudieras convertirte instantáneamente en un experto en cualquier campo, ¿cuál sería y por qué?
Seis;¿Cómo crees que la tecnología ha cambiado la forma en que las personas se comunican?,Seis;¿Qué es lo más emocionante que te ha pasado este año?,Seis;¿Cuál es tu método preferido de aprendizaje: leer, escuchar o hacer?,Seis;Si pudieras cambiar un evento en la historia, ¿cuál sería y cómo crees que afectaría el presente?
Cinco;¿Crees que es importante seguir tus sueños? ¿Por qué sí o por qué no?,Cinco;Describe tu recuerdo favorito de la infancia.,Cinco;Si tuvieras que elegir una estación para experimentar todo el año, ¿cuál sería?,Cinco;Si pudieras vivir en cualquier mundo ficticio (de un libro, película o juego), ¿cuál elegirías?
Cuatro;¿Cuál es tu opinión sobre viajar a nuevos lugares?,Cuatro;¿Qué meta estás trabajando actualmente?,Cuatro;¿Prefieres trabajar solo o como parte de un equipo? ¿Por qué?,Cuatro;Si pudieras hacerle una pregunta a un adivino sobre tu futuro, ¿cuál sería?
Tres;¿Cuál es la lección más importante que has aprendido en la vida hasta ahora?,Tres;¿Dónde te ves dentro de cinco años?,Tres;¿Qué prefieres: dar regalos o recibir regalos? Explica por qué.,Tres;Si ganaras la lotería, ¿qué es lo primero que harías?
Dos;¿Cuál es tu opinión sobre este juego que estamos jugando ahora mismo?,Dos;¿Qué estabas haciendo en esta misma fecha el año pasado?,Dos;¿Qué sentido es más importante para ti: vista, oído, olfato, gusto o tacto?,Dos;Si pudieras experimentar un día en los zapatos de otra persona, ¿quién sería?
