Spades#Hearts#Clubs#Diamonds
Ace;What is something you are proud of, and why?#Ace;Tell me about a time you were really surprised.#Ace;Would you rather be incredibly smart or incredibly athletic? Why?#Ace;If you could have any superpower, what would it be and how would you use it?
King;What is your opinion on social media?#King;Describe a memorable trip you took.#King;What is your favourite type of food, and why?#King;If you could travel anywhere in time, where (and when) would you go and why?
Queen;What is a quality you admire in others?#Queen;What is the most interesting thing you have learned recently?#Queen;If you could only listen to one band or artist for the rest of your life, who would it be?#Queen;If you could have dinner with any three people, living or dead, who would they be and why?
Jack;What is a problem facing the world today that you think is important?#Jack;Tell me about a typical day in your life.#Jack;Do you prefer reading books or watching movies? Explain your choice.#Jack;If you were the leader of your country, what is the first thing you would do?
Ten;What is the best way to learn a new language, in your opinion?#Ten;What are your plans for the upcoming weekend?#Ten;Which do you like more, the city or the countryside? Why?#Ten;If you could invent anything, what would it be and how would it help people?
Nine;What is more important: being rich or being happy? Explain your reasoning.#Nine;Describe a challenge you have overcome.#Nine;What is your favourite way to spend a rainy day?#Nine;If animals could talk, which one would you want to have a conversation with and why?
Eight;What is something you think everyone should try at least once?#Eight;What is a skill you would like to learn, and why?#Eight;Would you rather have the ability to fly or be invisible? Why?#Eight;If you were stranded on a deserted island and could only bring three items, what would they be?
Seven;What is your opinion on the importance of learning history?#Seven;Tell me about a time you helped someone.#Seven;What is one thing you would like to improve about your daily routine?#Seven;If you could instantly become an expert in any field, what would it be and why?
Six;How do you think technology has changed the way people communicate?#Six;What is the most exciting thing that happened to you this year?#Six;What is your preferred method of learning: reading, listening, or doing?#Six;If you could change one event in history, what would it be and how do you think it would affect the present?
Five;Do you think it's important to follow your dreams? Why or why not?#Five;Describe your favourite childhood memory.#Five;If you had to choose one season to experience all year round, which one would it be?#Five;If you could live in any fictional world (from a book, movie, or game), which one would you choose?
Four;What is your opinion on traveling to new places?#Four;What is a goal you are currently working towards?#Four;Do you prefer to work alone or as part of a team? Why?#Four;If you could ask a fortune teller one question about your future, what would it be?
Three;What is the most important lesson you have learned in life so far?#Three;Where do you see yourself in five years?#Three;Which do you prefer: to give gifts or to receive gifts? Explain why.#Three;If you won the lottery, what is the first thing you would do?
Two;What is your opinion on this game we are playing right now?#Two;What were you doing this time last year?#Two;Which sense is most important to you: sight, hearing, smell, taste or touch?#Two;If you could experience one day in someone else's shoes, who would it be?
